REF_AREA,TIME_PERIOD,OBS_VALUE_mortality,OBS_VALUE_gdp,OBS_VALUE_hdi,OBS_VALUE_health_exp,OBS_VALUE_hosp_beds,OBS_VALUE_life_exp,OBS_VALUE_social_expenditure,OBS_VALUE_unemp
LVA,2001,667,6833.4354323157,0.775,5.891,8.28,70.7609756097561,14.619,13.475
LVA,2002,648,7443.22944659059,0.786,5.955,7.87,70.9609756097561,14.259,12.492
LVA,2003,621,8149.00183600084,0.798,5.736,7.95,71.2658536585366,13.479,11.65
LVA,2004,611,8957.23393555082,0.809,6.475,7.91,72.0268292682927,13.575,11.742
LVA,2005,622,10106.2626157732,0.818,6.082,7.9,71.3560975609756,12.72,10.042
LVA,2006,631,11507.4648265658,0.823,6.021,7.85,70.8658536585366,12.758,7.033
LVA,2007,597,12810.0409502542,0.829,5.818,7.83,71.019512195122,11.636,6.075
LVA,2008,564,12506.6945041012,0.837,5.866,7.77,72.419512195122,13.573,7.75
LVA,2009,536,10675.425174228,0.836,6.268,6.74,73.0804878048781,18.417,17.55
LVA,2010,532,10500.8666223014,0.833,6.224,5.68,73.4829268292683,19.533,19.475
LVA,2011,505,11018.5152421583,0.84,5.918,5.88,73.5756097560976,17.514,16.208
LVA,2012,492,11971.0107466522,0.843,5.621,5.89,73.7780487804878,15.918,15.048
LVA,2013,483,12353.5386135301,0.852,5.604,5.8,73.9829268292683,16.1,11.868
LVA,2014,464,12731.6771959342,0.854,5.664,5.66,74.1243902439024,15.941,10.847
LVA,2015,455,13321.9753140616,0.859,5.849,5.69,74.4804878048781,16.26,9.875
LVA,2016,443,13787.3367440023,0.864,6.352,5.72,74.580487804878,16.542,9.642
LVA,2017,436,14382.8612727134,0.87,6.187,5.57,74.6292682926829,16.4,8.715
LVA,2018,432,15120.0698171804,0.875,6.409,5.49,74.7829268292683,16.716,7.415
LVA,2019,402,15328.3859933295,0.88,6.863,5.42,75.3878048780488,17.137,6.311
LVA,2020,413,14900.7295718866,0.879,7.506,5.29,75.1853658536585,19.2,8.099
LVA,2021,531,16070.1680032322,0.871,9.411,5.16,72.9804878048781,21.738,7.557
LVA,2022,449,16404.9770631465,0.881,8.104,5.03,74.2780487804878,20.505,6.851
LVA,2023,412,16890.6283099707,0.889,7.278,4.96,75.6780487804878,19.705,6.506
LTU,2000,554,6384.30865426374,0.778,6.186,8.83,72.0195121951219,15.368,16.375
LTU,2001,580,6854.5251282667105,0.787,6.002,8.33,71.6585365853659,14.533,17.362
LTU,2002,581,7374.0979710116,0.799,6.135,8.1,71.7609756097561,14.336,13.737
LTU,2003,576,8218.69336289848,0.812,6.177,7.85,72.0609756097561,14.268,12.441
LTU,2004,577,8851.92598922347,0.821,5.483,7.57,71.9609756097561,13.168,10.884
LTU,2005,617,9692.86853763267,0.828,5.646,7.28,71.2536585365854,13.691,8.324
LTU,2006,632,10577.2145522871,0.834,5.857,7.16,71.0560975609756,13.792,5.778
LTU,2007,642,11889.3545234657,0.839,5.76,7.19,70.9,14.827,4.248
LTU,2008,597,12324.5197331387,0.849,6.29,7.18,71.8121951219512,16.563,5.827
LTU,2009,541,10612.9204044582,0.851,7.345,7.18,72.9146341463415,21.787,13.787
LTU,2010,527,10884.1161852582,0.854,6.906,7.16,73.2682926829268,19.488,17.814
LTU,2011,508,11836.7200384033,0.86,6.54,7.43,73.5634146341464,17.335,15.39
LTU,2012,499,12516.6184065667,0.862,6.308,7.44,73.8634146341464,16.393,13.366
LTU,2013,489,13145.8069309969,0.865,6.155,7.3,73.9146341463415,15.406,11.77
LTU,2014,462,13753.1895982305,0.866,6.222,7.25,74.5170731707317,15.581,10.699
LTU,2015,469,14269.8039878287,0.869,6.474,6.95,74.3219512195122,15.766,9.119
LTU,2016,454,14823.107153522,0.875,6.649,6.67,74.6707317073171,15.602,7.861
LTU,2017,412,15695.9993288456,0.885,6.464,6.52,75.4804878048781,15.334,7.073
LTU,2018,400,16604.9021440809,0.889,6.469,6.39,75.6804878048781,16.244,6.146
LTU,2019,390,17431.7239081591,0.894,6.945,6.31,76.2829268292683,16.862,6.254
LTU,2020,449,17443.65526328,0.888,7.416,5.98,75.0292682926829,21.091,8.488
LTU,2021,481,18569.7057246217,0.887,7.732,6.04,74.0365853658537,19.298,7.113
LTU,2022,409,18884.5152531698,0.888,7.244,5.68,75.6439024390244,17.444,5.95
LTU,2023,356,18685.5523679178,0.895,7.319,5.48,76.9878048780488,16.941,6.875
LUX,2000,271,92527.7108705226,0.861,5.925,NA,77.8731707317073,18.774,2.4
LUX,2001,257,94243.7068360989,0.863,6.381,NA,77.8243902439025,20.28,2.217
LUX,2002,272,96269.5797484275,0.868,6.76,NA,77.9658536585366,21.481,2.5
LUX,2003,269,97597.9973184565,0.87,6.961,NA,77.7268292682927,22.756,3.292
LUX,2004,215,100292.566948333,0.878,7.28,6.39,79.1219512195122,22.821,3.692
LUX,2005,222,101222.044353044,0.879,7.125,5.79,79.4317073170732,22.587,4.083
LUX,2006,236,105614.178851764,0.88,6.638,5.65,79.2878048780488,21.111,4.233
LUX,2007,223,112417.876989455,0.883,6.158,5.67,79.3829268292683,19.618,4.183
LUX,2008,191,110094.791529429,0.896,6.231,5.57,80.5390243902439,20.416,4.142
LUX,2009,198,104574.349049084,0.905,6.95,5.47,80.6365853658537,22.373,5.483
LUX,2010,194,106544.057363484,0.909,6.662,5.37,80.6317073170732,21.533,5.817
LUX,2011,184,105290.249021891,0.911,5.952,5.28,80.9878048780488,20.871,5.658
LUX,2012,179,104487.744312565,0.914,5.294,5.15,81.3926829268293,20.579,6.099
LUX,2013,180,105338.955521681,0.919,5.236,5.17,81.8,20.537,6.83
LUX,2014,168,105583.937273429,0.924,5.23,5.05,82.2292682926829,20.462,7.092
LUX,2015,160,105462.012584423,0.913,5.081,4.96,82.2926829268293,20.151,6.648
LUX,2016,164,108351.451826983,0.916,5.071,4.82,82.6853658536585,20.034,6.263
LUX,2017,161,107142.126672598,0.913,5.135,4.66,82.0951219512195,20.543,5.843
LUX,2018,156,106788.728745199,0.915,5.274,4.51,82.2951219512195,20.836,5.11
LUX,2019,143,107591.965850496,0.916,5.466,4.26,82.6390243902439,21.345,5.407
LUX,2020,154,105274.2471768,0.916,5.767,4.19,82.1439024390244,23.915,6.359
LUX,2021,147,110873.185245175,0.918,5.608,4.14,82.5975609756098,21.542,5.739
LUX,2022,140,107469.755128407,0.922,5.609,3.99,82.9463414634147,22.102,4.809
LUX,2023,123,104590.079769081,0.922,5.668,3.94,83.3585365853659,23.398,5.232
MEX,2000,421,9581.96970218684,0.712,4.244,1.05,72.562,4.189,2.2
MEX,2001,412,9398.35074363503,0.715,4.582,1.08,72.912,4.746,2.768
MEX,2002,413,9242.27886137666,0.722,4.83,1.09,73.106,5.092,2.978
MEX,2003,413,9221.9966670073,0.728,5.54,1.05,73.308,5.735,3.4
MEX,2004,403,9421.28976148291,0.732,5.684,1.06,73.432,5.683,3.919
MEX,2005,403,9491.51730283716,0.736,5.581,1.04,73.627,5.877,3.523
MEX,2006,394,9813.82804202904,0.745,5.406,1.02,73.746,5.985,3.563
MEX,2007,383,9877.69532652913,0.747,5.507,1.05,73.796,5.974,3.653
MEX,2008,397,9826.34218464752,0.75,5.446,1.03,73.695,6.406,3.9
MEX,2009,396,9074.1188146315,0.749,5.848,1.01,73.628,6.928,5.385
MEX,2010,394,9389.06722045352,0.751,5.49,1.04,73.718,7.026,5.306
MEX,2011,382,9575.93437796508,0.757,5.301,1.02,73.921,6.925,5.192
MEX,2012,380,9782.51776268033,0.764,5.421,1.01,74.128,6.917,4.933
MEX,2013,371,9738.71059677222,0.765,5.577,1.01,74.289,7.262,4.942
MEX,2014,378,9862.4812527519,0.769,5.353,1,74.404,7.279,4.836
MEX,2015,376,10021.2386124039,0.773,5.527,0.99,74.431,7.395,4.347
MEX,2016,393,10100.5021214851,0.778,5.385,0.99,74.376,7.259,3.873
MEX,2017,390,10193.7727202899,0.781,5.312,0.98,74.261,7.209,3.423
MEX,2018,389,10296.8690920868,0.785,5.238,0.97,74.301,7.053,3.324
MEX,2019,393,10159.4448356722,0.788,5.301,0.95,74.53,7.669,3.49
MEX,2020,680,9234.64362409252,0.763,6.052,0.99,70.449,9.8,4.409
MEX,2021,676,9728.05680082173,0.761,5.877,1,69.75,9.478,4.135
MEX,2022,418,10013.366859074,0.783,5.709,1,73.973,9.658,3.271
NLD,2000,254,40665.338169599,0.9,7.704,4.92,77.9878048780488,19.669,3.66
NLD,2001,246,41297.3198832208,0.902,8.042,4.75,78.190243902439,19.773,3.137
NLD,2002,242,41135.4190736263,0.898,8.619,4.69,78.2926829268293,20.515,3.665
NLD,2003,233,40981.8477039972,0.901,9.02,4.49,78.4926829268293,21.155,5.921
NLD,2004,221,41663.1477772692,0.904,9.072,4.5,79.0951219512195,20.94,6.773
NLD,2005,216,42411.3453838518,0.907,9.06,4.44,79.3463414634146,20.507,6.961
NLD,2006,206,43841.1223404104,0.914,9.036,4.4,79.6975609756098,17.206,6.079
NLD,2007,198,45445.522872349,0.92,9.001,4.29,80.0975609756098,16.527,5.295
NLD,2008,193,46227.211156219,0.92,9.218,4.25,80.2512195121951,16.256,4.77
NLD,2009,188,44304.4119317351,0.92,9.908,4.21,80.5487804878049,17.846,5.422
NLD,2010,185,44659.272839058,0.925,10.095,4.12,80.7024390243902,18.317,6.082
NLD,2011,180,45239.7318887962,0.935,10.145,3.97,81.2048780487805,18.419,6.05
NLD,2012,178,44631.8745388789,0.935,10.455,3.78,81.1048780487805,18.897,6.823
NLD,2013,171,44487.03063469,0.937,10.502,3.69,81.3048780487805,19.141,8.204
NLD,2014,162,45042.0669545832,0.939,10.457,3.55,81.7073170731707,19.03,8.338
NLD,2015,166,45793.8135434697,0.94,10.189,3.49,81.509756097561,18.602,7.887
NLD,2016,165,46655.0363382039,0.941,10.125,3.41,81.5609756097561,18.443,7.005
NLD,2017,158,47670.1057253297,0.945,9.937,3.28,81.7609756097561,17.939,5.873
NLD,2018,155,48463.0299739951,0.947,9.851,3.18,81.8121951219512,17.586,4.881
NLD,2019,149,49254.0158854264,0.95,9.936,3.02,82.1121951219512,17.519,4.436
NLD,2020,161,47086.5804192702,0.945,10.95,2.91,81.3585365853659,21.178,4.851
NLD,2021,168,49780.8440526836,0.951,11.135,2.95,81.309756097561,19.753,4.226
NLD,2022,156,51777.5431588864,0.953,10.031,2.45,81.6146341463415,17.709,3.537
NLD,2023,149,51305.6282773372,0.955,9.832,2.31,81.9146341463415,18.384,3.553
NZL,2000,282,30853.807635459,0.896,7.47,NA,78.6365853658537,18.259,6.15
NZL,2001,281,31718.7628389095,0.902,7.579,NA,78.6926829268293,17.628,5.475
NZL,2002,270,32641.8202163485,0.905,7.9,NA,78.8463414634146,18.268,5.3
NZL,2003,260,33517.0893271345,0.91,7.722,NA,79.1463414634146,17.641,4.75
NZL,2004,255,34372.5891093868,0.912,7.901,NA,79.5487804878049,16.714,4.025
NZL,2005,235,35126.3341641095,0.917,8.273,NA,79.8512195121951,18.649,3.8
NZL,2006,234,35665.3533259784,0.918,8.638,NA,80.0487804878049,18.734,3.875
NZL,2007,231,36414.3173040299,0.921,8.329,NA,80.1512195121951,19.672,3.625
NZL,2008,225,35739.3584607571,0.92,8.651,NA,80.3512195121951,21.965,4.025
NZL,2009,221,35370.585185302,0.923,9.136,2.41,80.7024390243902,22.338,5.9
NZL,2010,206,35489.7631519026,0.926,9.095,2.75,80.9048780487805,22,6.2
NZL,2011,209,35957.523248516,0.927,9.107,2.82,81.1560975609756,21.238,6.05
NZL,2012,198,36607.1493914827,0.929,9.202,2.83,81.4073170731707,21.36,6.45
NZL,2013,187,37267.6586997514,0.933,8.939,2.78,81.4048780487805,20.641,5.825
NZL,2014,189,38056.2646732554,0.932,8.972,2.75,81.4568292682927,20.68,5.425
NZL,2015,186,38665.3723018158,0.934,8.889,2.71,81.6124390243903,20.27,5.425
NZL,2016,179,39235.3695566636,0.938,8.769,2.72,81.6585365853659,20.032,5.175
NZL,2017,183,39722.6068434219,0.936,8.618,2.7,81.8585365853659,19.859,4.75
NZL,2018,178,40371.5456268118,0.938,8.57,2.59,81.7073170731707,19.834,4.325
NOR,2000,252,67846.5968643534,0.924,7.703,NA,78.6341463414634,20.386,3.426
NOR,2001,243,68899.5268987833,0.923,8.01,NA,78.7853658536585,21.202,3.546
NOR,2002,241,69472.9836807311,0.923,8.983,4.99,78.9878048780488,22.664,3.889
NOR,2003,226,69719.3122573679,0.93,9.194,4.99,79.390243902439,23.59,4.494
NOR,2004,220,72090.9862854901,0.937,8.796,5.25,79.8414634146342,22.22,4.471
NOR,2005,210,73524.2549197612,0.939,8.299,5.16,80.0414634146342,20.664,4.616
NOR,2006,204,74729.7365961068,0.942,7.882,5.03,80.3439024390244,19.404,3.444
NOR,2007,199,76115.7066768285,0.943,8.017,4.86,80.3951219512195,19.52,2.539
NOR,2008,196,75535.2118003041,0.943,7.915,4.64,80.5926829268293,19.169,2.747
NOR,2009,192,73141.3073299889,0.944,9.033,4.52,80.7951219512195,22.415,3.266
NOR,2010,186,72804.3956188398,0.947,8.858,4.3,80.9975609756098,22.001,3.794
NOR,2011,179,72660.6754124944,0.949,8.735,4.19,81.2951219512195,21.446,3.364
NOR,2012,174,73661.6785830334,0.95,8.722,3.97,81.4512195121951,21.332,3.294
NOR,2013,168,73515.9144917472,0.953,8.874,3.86,81.7512195121951,21.782,3.773
NOR,2014,160,74180.3238731011,0.956,9.283,3.84,82.1,22.687,3.617
NOR,2015,157,74809.9658049898,0.959,10.07,3.76,82.3048780487805,24.531,4.531
NOR,2016,156,75017.4944769055,0.962,10.53,3.68,82.4073170731707,25.819,4.74
POL,2000,431,7401.57697647848,0.801,5.265,NA,73.7487804878049,20.063,16.087
POL,2001,412,7494.96089503246,0.809,5.64,NA,74.2,21.575,18.242
POL,2002,397,7640.99307757777,0.816,6.048,NA,74.4975609756098,21.725,20.235
POL,2003,394,7915.55424389704,0.822,5.934,6.68,74.5975609756098,21.841,19.942
POL,2004,387,8323.38773754587,0.82,5.842,6.67,74.8463414634146,21.116,19.276
POL,2005,379,8598.57681241557,0.826,5.791,6.52,74.9951219512195,20.84,18.052
POL,2006,377,9137.65850849801,0.831,5.781,6.47,75.1439024390244,20.56,14.169
POL,2007,374,9760.7042604352,0.836,5.864,6.42,75.2439024390244,19.498,9.944
POL,2008,367,10187.2017910883,0.841,6.352,6.62,75.5439024390244,20.146,7.466
POL,2009,354,10446.5289138524,0.846,6.57,6.65,75.6951219512195,21.255,8.514
POL,2010,337,10808.3975674238,0.852,6.435,6.61,76.2463414634146,20.802,9.635
POL,2011,328,11370.313427173,0.858,6.245,6.63,76.6951219512195,19.595,9.632
POL,2012,322,11542.2353368014,0.863,6.229,6.63,76.7463414634146,19.871,10.088
POL,2013,312,11628.2286809525,0.873,6.45,6.61,77,20.742,10.328
POL,2014,293,12093.1622787394,0.873,6.283,6.63,77.6024390243903,20.325,8.988
POL,2015,291,12637.5220324406,0.879,6.365,6.63,77.4512195121951,20.15,7.499
POL,2016,287,13026.1858988718,0.884,6.526,6.64,77.8512195121951,21.189,6.161
POL,2017,290,13695.6452848724,0.882,6.537,6.62,77.7536585365854,20.743,4.888
POL,2018,287,14551.0850277089,0.884,6.251,6.54,77.6024390243903,20.288,3.846
POL,2019,292,15221.3090624454,0.887,6.389,6.17,77.9048780487805,20.962,3.279
POL,2020,349,15090.2228440113,0.88,6.427,6.25,76.4,23.47,3.163
POL,2021,395,16368.6239689025,0.884,6.365,6.4,75.3512195121951,22.155,3.373
POL,2022,316,17303.64494323,0.902,6.466,6.29,77.1560975609756,20.72,2.874
PRT,2002,289,19095.1102477762,0.804,8.786,3.57,77.0658536585366,20.408,5.779
PRT,2003,278,18846.5411903004,0.808,9.124,3.58,77.219512195122,21.461,7.038
PRT,2007,225,19979.5706224764,0.821,9.252,3.44,78.3219512195122,21.307,8.722
PRT,2008,221,20014.4749270815,0.826,9.583,3.39,78.5243902439025,21.768,8.315
PRT,2009,219,19371.1318849497,0.831,10.131,3.37,78.7268292682927,24.11,10.177
PRT,2010,210,19698.6836746927,0.836,10.019,3.37,79.0268292682927,24.302,11.506
PRT,2011,204,19389.6395868833,0.843,9.718,3.37,80.4707317073171,24.198,13.585
PRT,2012,196,18679.7626802294,0.844,9.64,3.4,80.3731707317073,24.297,16.636
PRT,2013,192,18597.7214646143,0.849,9.395,3.39,80.7219512195122,25.386,17.216
PRT,2014,195,18836.8967994149,0.854,9.336,3.31,81.1219512195122,24.959,14.546
PRT,2015,191,19215.7813014347,0.857,9.333,3.36,81.1243902439025,23.967,12.862
PRT,2016,192,19662.8231226536,0.859,9.4,3.38,81.1243902439025,23.477,11.268
PRT,2017,188,20364.1963666527,0.864,9.327,3.38,81.4243902439025,22.783,9.242
PRT,2018,185,20997.7744918249,0.866,9.421,3.43,81.3243902439024,22.478,7.175
PRT,2019,177,21569.1874639961,0.872,9.509,3.49,81.6756097560976,22.329,6.633
PRT,2022,180,22042.8682074432,0.883,10.549,3.43,81.6317073170732,24.068,6.192
SVK,2000,515,8997.21199594319,0.774,5.307,7.86,73.0512195121951,17.533,18.9
SVK,2001,505,9277.35808851002,0.781,5.341,7.67,73.4024390243903,17.26,19.458
SVK,2002,487,9690.68468262889,0.79,5.518,7.57,73.6048780487805,17.415,18.825
SVK,2003,481,10168.02256533,0.796,5.484,7.25,73.6048780487805,16.727,17.7
SVK,2004,464,10718.2101858841,0.806,6.495,6.91,73.9585365853659,15.96,18.358
SVK,2005,462,11412.1593630008,0.815,6.616,6.79,73.9048780487805,15.442,16.358
SVK,2006,453,12430.2015488557,0.824,6.852,6.73,74.2048780487805,15.063,13.442
SVK,2007,440,13770.9602691527,0.834,7.175,6.78,74.2073170731707,14.854,11.217
SVK,2008,425,14497.1114407172,0.842,6.96,6.59,74.7048780487805,14.942,9.592
SVK,2009,406,13680.7537106597,0.845,7.953,6.54,74.909756097561,17.781,12.1
SVK,2010,397,14596.1477776887,0.851,7.671,6.46,75.1121951219512,17.313,14.408
SVK,2012,376,15159.657042000401,0.856,7.528,5.91,76.109756097561,17.238,13.908
SVK,2013,364,15249.8824513785,0.858,7.48,5.8,76.4121951219512,17.559,14.142
SVK,2014,346,15647.6491763517,0.859,6.865,5.79,76.8121951219512,17.637,13.1
SVK,2016,336,16740.7413996428,0.864,6.942,5.78,77.1658536585366,17.494,9.658
SVK,2017,336,17195.2888721963,0.865,6.734,5.82,77.1658536585366,17.411,8.075
SVK,2018,332,17869.0149173679,0.868,6.637,5.7,77.2658536585366,17.016,6.525
SVK,2019,321,18250.9802475637,0.871,6.911,5.76,77.6658536585366,17.359,5.725
SVK,2020,350,17763.8563847352,0.867,7.06,5.68,76.8658536585366,19.094,6.65
SVK,2021,474,18816.239379058,0.859,7.629,5.67,74.6146341463415,18.971,6.817
SVK,2022,341,18952.4452860922,0.873,7.702,5.69,76.9658536585366,18.119,6.183
SVK,2023,297,19381.2460735632,0.88,7.353,5.66,78.0170731707317,19.294,5.825
SVN,2000,363,16146.1216848394,0.829,7.855,5.4,75.4121951219512,22.238,6.75
SVN,2001,359,16576.7158840406,0.845,7.955,5.16,75.7585365853659,22.17,6.75
SVN,2002,346,17099.658209132,0.855,8.116,5.09,76.0073170731707,22.585,6.35
SVN,2003,341,17635.3608581831,0.865,8.174,4.96,76.8585365853659,22.093,6.725
SVN,2004,318,18425.2601213581,0.87,8,4.8,77.2073170731707,21.677,6.325
SVN,2005,301,19102.2776603905,0.876,8.053,4.83,77.6121951219512,21.679,6.55
SVN,2006,291,20166.5323431214,0.883,7.867,4.77,78.0865853658537,21.245,6
SVN,2007,285,21485.780992381,0.888,7.541,4.66,78.5609756097561,19.841,4.875
SVN,2008,277,22175.2369557321,0.894,7.893,4.74,78.7658536585366,19.977,4.425
SVN,2009,267,20307.6188322273,0.894,8.642,4.6,78.9707317073171,22.693,5.9
SVN,2010,254,20444.1201295876,0.896,8.639,4.57,79.4219512195122,23.558,7.25
SVN,2011,246,20535.4155754108,0.897,8.601,4.62,79.9707317073171,23.617,8.225
SVN,2012,242,19894.8697964548,0.897,8.793,4.54,80.1243902439024,23.682,8.9
SVN,2013,235,19704.2186005128,0.907,8.84,4.55,80.3219512195122,24.075,10.1
SVN,2014,220,20228.7081986391,0.907,8.585,4.54,81.0780487804878,23.312,9.75
SVN,2015,226,20697.2748530619,0.909,8.597,4.51,80.7756097560976,22.877,9
SVN,2016,216,21309.7122138949,0.914,8.569,4.49,81.1756097560976,22.5,8.025
SVN,2017,211,22397.7634988337,0.918,8.259,4.5,81.0292682926829,21.676,6.575
SVN,2018,209,23293.966665323,0.922,8.352,4.43,81.3780487804878,21.517,5.125
SVN,2019,200,23943.1800949889,0.923,8.566,4.43,81.5292682926829,21.64,4.45
SVN,2020,221,22811.8050540778,0.918,9.49,4.28,80.5317073170732,25.19,5
SVN,2021,232,24659.2499382582,0.924,9.527,4.25,80.6756097560976,24.529,4.725
SVN,2022,210,25276.9359105789,0.926,9.627,4.12,81.2829268292683,23.934,4
SVN,2023,187,25708.8692594475,0.931,9.3,4.05,81.9780487804878,22.632,3.675
ESP,2000,238,24106.8818529374,0.833,6.802,3.65,78.9658536585366,19.014,13.857
ESP,2001,232,24878.3784543991,0.839,6.769,3.58,79.3682926829268,18.641,10.54
ESP,2002,226,25205.3154769045,0.844,6.799,3.53,79.5682926829268,18.865,11.45
ESP,2003,224,25481.1653690112,0.846,7.592,3.44,79.619512195122,19.481,11.485
ESP,2004,212,25825.3106463315,0.852,7.684,3.4,79.8707317073171,19.707,10.965
ESP,2005,209,26294.447384391,0.857,7.778,3.34,80.1707317073171,19.948,9.153
ESP,2006,199,26899.0921497113,0.862,7.871,3.29,80.8219512195122,20.012,8.453
ESP,2007,196,27338.79541774,0.864,7.962,3.25,80.8731707317073,20.168,8.233
ESP,2008,189,27112.526293889,0.865,8.429,3.2,81.1756097560976,21.413,11.245
ESP,2009,181,25860.8142592652,0.867,9.153,3.16,81.4756097560976,24.663,17.855
ESP,2010,175,25766.2515825743,0.875,9.17,3.12,81.6268292682927,24.872,19.858
ESP,2011,170,25510.5579678829,0.879,9.217,3.05,82.4756097560976,25.496,21.39
ESP,2012,165,24763.568274484,0.881,9.219,2.99,82.4268292682927,25.433,24.788
ESP,2013,162,24498.5559507945,0.886,9.137,2.96,83.0780487804878,25.574,26.095
ESP,2014,158,24947.8512505913,0.89,9.151,2.97,83.2292682926829,25.209,24.443
ESP,2015,157,25982.4416197775,0.895,9.176,2.97,82.8317073170732,24.493,22.058
ESP,2016,155,26719.2442268615,0.9,9.013,2.97,83.3292682926829,24.048,19.635
ESP,2017,152,27426.281015093,0.902,9.022,2.98,83.2829268292683,23.578,17.225
ESP,2018,149,27956.7225466484,0.905,9.071,2.97,83.4317073170732,23.721,15.255
ESP,2019,144,28301.4393949563,0.91,9.215,2.95,83.8317073170732,24.345,14.105
ESP,2020,169,25077.019882928,0.901,10.795,2.96,82.2317073170732,30.613,15.533
ESP,2021,163,26705.3629138959,0.912,10.344,2.96,83.1780487804878,28.415,14.92
ESP,2022,154,28152.4661471586,0.911,9.68,2.94,83.1341463414634,25.965,13.035
ESP,2023,142,28569.8436387056,0.918,9.221,2.88,83.8829268292683,25.933,12.185
SWE,2000,230,41561.0967199358,0.912,7.325,3.58,79.6439024390244,26.986,6.342
SWE,2001,227,42013.7004290176,0.915,7.893,3.27,79.7951219512195,27.136,5.967
SWE,2002,225,42831.0188566865,0.918,8.186,3.13,79.8463414634146,27.731,6.083
SWE,2003,218,43474.5792121957,0.923,8.317,3.05,80.0951219512195,28.486,6.692
SWE,2004,213,45113.8308507663,0.908,8.143,3.01,80.4975609756098,27.99,7.517
SWE,2005,204,46188.8411096468,0.911,8.16,2.93,80.5463414634146,27.673,7.908
SWE,2006,198,48077.440868765,0.915,8.042,2.89,80.7487804878049,26.966,7.167
SWE,2007,192,49261.2399479074,0.917,7.988,2.86,80.9,25.921,6.242
SWE,2008,191,48427.7563790621,0.913,8.226,2.81,81.1,26.203,6.275
SWE,2009,183,45973.5537677715,0.912,8.777,2.76,81.3512195121951,28.16,8.417
SWE,2010,173,48204.6580769325,0.918,8.324,2.73,81.4512195121951,26.81,8.7
SWE,2011,168,49355.6899477279,0.92,10.502,2.7,81.8024390243903,26.38,7.875
SWE,2012,167,48788.8671210682,0.92,10.834,2.66,81.7048780487805,27.438,8.067
SWE,2013,166,48927.5973079916,0.94,10.987,2.59,81.9560975609756,28.142,8.108
SWE,2014,160,49556.7004954366,0.943,11.072,2.54,82.2536585365854,27.857,8.042
SWE,2015,162,51197.9529341175,0.945,10.933,2.44,82.2048780487805,27.417,7.517
SWE,2016,155,51746.6969646457,0.947,10.982,2.34,82.3073170731707,27.669,7.058
SWE,2017,153,51985.9324672002,0.949,10.966,2.21,82.409756097561,27.234,6.783
SWE,2018,150,52363.3829129568,0.95,11.125,2.13,82.5585365853659,26.997,6.433
SWE,2019,142,53156.8613139843,0.955,10.961,2.07,83.109756097561,26.324,6.908
SWE,2020,151,51715.7810359674,0.951,11.443,2.05,82.3560975609756,27.945,8.483
SWE,2021,144,54458.3535629927,0.958,11.328,2,83.0560975609756,26.321,8.892
SWE,2022,138,54878.2919499171,0.959,10.946,1.9,83.0585365853659,25.272,7.483
SWE,2023,133,54557.129996126,0.959,11.278,1.87,83.309756097561,25.761,7.667
CHE,2000,217,73749.9389517966,0.892,9.134,6.29,79.6804878048781,13.881,1.824
CHE,2001,204,74439.4637644735,0.895,9.46,6.04,80.1804878048781,14.1,1.703
CHE,2002,196,73824.3849167809,0.896,9.88,5.95,80.3853658536585,15.088,2.546
CHE,2003,192,73254.9529864219,0.901,10.137,5.82,80.5365853658537,15.627,3.691
CHE,2004,182,74718.6836260364,0.906,10.226,5.67,81.0878048780488,15.551,3.879
CHE,2005,182,76282.9840696619,0.909,10.058,5.54,81.2365853658537,15.413,3.763
CHE,2006,174,78893.8078199046,0.918,9.58,5.39,81.490243902439,14.678,3.332
CHE,2007,174,81254.1701015272,0.926,9.417,5.36,81.7414634146342,14.123,2.766
CHE,2008,169,82481.0680560935,0.934,9.532,5.21,81.9926829268293,13.751,2.577
CHE,2009,166,79585.5216989959,0.942,10.142,5.1,82.0439024390244,15.222,3.701
CHE,2010,158,81315.4228307049,0.945,9.991,5.19,82.2463414634147,14.962,3.516
CHE,2011,152,81874.3362425008,0.946,10.104,5.05,82.6951219512195,14.925,2.843
CHE,2012,149,81964.8864937809,0.949,10.335,4.97,82.6975609756098,15.183,2.905
CHE,2013,147,82479.9215677304,0.952,10.594,4.85,82.7975609756098,15.462,3.158
CHE,2014,141,83394.3712888211,0.956,10.675,4.73,83.1975609756098,15.424,3.044
CHE,2015,140,83806.4476003837,0.957,10.98,4.73,82.8975609756098,15.893,3.178
CHE,2016,134,84611.0998672721,0.959,11.202,4.69,83.6024390243903,16.097,3.323
CHE,2017,131,84967.5886498224,0.96,11.375,4.65,83.5512195121951,16.271,3.088
CHE,2018,130,86756.6022327472,0.962,11.158,4.63,83.7536585365854,15.785,2.547
CHE,2019,124,87123.6604234257,0.965,11.395,4.59,83.9048780487805,15.996,2.306
CHE,2020,133,84637.0132935333,0.963,11.99,4.48,83,19.27,3.17
CHE,2021,131,88661.2029776281,0.968,11.959,4.43,83.7512195121951,17.468,2.993
CHE,2022,124,90605.019427268,0.966,11.599,4.42,83.6048780487805,15.46,2.166
CHE,2023,114,90084.8341661309,0.97,11.691,4.37,84.0560975609756,15.474,1.983
TUR,2009,253,7862.87076474477,0.728,5.494,2.62,74.679,12.947,12.9
TUR,2010,251,8396.92342026278,0.75,5.021,2.74,74.964,12.273,11
TUR,2011,251,9201.33726059829,0.764,4.653,2.62,74.823,11.792,9
